Title,Directed by,Music by,Budget,Superstar,Trailer ,Trailer Likes,Hit/Flop
Eega,S. S. Rajamouli,M. M. Keeravani,30,1,292124,3500,Hit
Gabbar Singh (film),Harish Shankar,Devi Sri Prasad,30,1,1310972,40000,Hit
Racha (film),Sampath Nandi,Mani Sharma,40,1,426623,1200,Hit
Businessman (film),Puri Jagannadh,S. Thaman,40,1,942385,25000,Hit
Julayi,Trivikram Srinivas,Devi Sri Prasad,35,1,392610,2800,Hit
Cameraman Gangatho Rambabu,Puri Jagannadh,Mani Sharma,25,1,934260,4500,Hit
Dammu,Boyapati Srinu,M. M. Keeravani,28,1,536485,3900,Hit
Ayyare,Saagar K. Chandra,Sunil Kashyap,65,0,11371,16,Flop
Nippu,Gunasekhar,S. Thaman,5,1,48050,219,Hit
Poola Rangadu (2012 film),Veerabhadram Chowdary,Anup Rubens,32,0,136251,333,Hit
Nuvva Nena,Pendyala Veera Venkata Sathya Narayana,"Songs:
Bheems Ceciroleo
Background Score:
Mani Sharma",8,1,1281277,11000,Hit
Naa Ishtam,Prakash Tholeti,Chakri,3,0,177061,481,Hit
Lovely (2012 film),B. Jaya,Anup Rubens,5,0,1324427,30000,Hit
Neeku Naaku Dash Dash,Teja,Yaswanth Nag,4,0,11288,66,Flop
Disco (2012 film),Hari K. Chanduri,Mantra Anand,7,0,4278303,148000,Flop
Daruvu,Siva,Vijay Antony,20,1,319616,1300,Hit
Attarintiki Daredi,Trivikram Srinivas,Devi Sri Prasad,55,1,3388482,24000,Hit
Race Gurram,Surender Reddy,S. Thaman,52,1,603231,4200,Hit
1: Nenokkadine,Sukumar,Devi Sri Prasad,60,1,655788,5000,Flop
Legend (2014 film),Boyapati Srinu,Devi Sri Prasad,35,1,3380436,139000,Hit
Manam (film),Vikram Kumar,Anup Rubens,28,1,2404898,11000,Hit
Aagadu,Srinu Vaitla,S. Thaman,65,1,367922,3200,Flop
Yevadu,Vamshi Paidipally,Devi Sri Prasad,37,1,417442,4600,Hit
Govindudu Andarivadele,Krishna Vamsi,Yuvan Shankar Raja,30,1,183977,2000,Hit
Loukyam,Sriwass,Anoop Rubens,20,1,149718,779,Hit
Geethanjali (2014 film),Raj Kiran,Praveen Lakkaraju,6,0,700647,8100,Hit
Heart Attack (2014 film),Puri Jagannadh,Anup Rubens,15,0,932808,2600,Hit
Baahubali: The Beginning,S.S. Rajamouli,M. M. Keeravani,180,1,28537071,209000,Hit
Janatha Garage,Koratala Siva,Devi Sri Prasad,50,1,7696551,72000,Hit
Sarrainodu,Boyapati Srinu,S. Thaman,50,1,4675286,46000,Hit
Nannaku Prematho,Sukumar,Devi Sri Prasad,47,1,7467198,75000,Hit
